,userid,itemid,courseid,finalgrade
0,327,1880,2,69.10543832660166
1,1336,73,0,65.12526817198908
2,2028,21,0,53.137696387479295
3,1840,4284,5,53.23925475612566
4,1578,8,0,56.37153094361409
5,309,1212,1,45.27973269921739
6,2305,4289,5,65.81951697764956
7,56,1238,1,51.12751131913981
8,3260,599,0,70.0642346451436
9,243,1743,1,55.62286100916232
10,2959,341,0,49.786655577297225
11,2718,4,0,45.789589191818926
12,650,1219,1,61.77049442964312
13,2356,1885,2,48.92558653913021
14,1008,9,0,51.578387135765404
15,1870,1055,1,71.57839251966143
16,2881,5143,6,68.58379860475654
17,818,1862,2,74.00992556920173
18,1700,1862,2,55.25639855660449
19,1748,64,0,67.31484953629442
20,1870,1088,1,41.129598075040704
21,1294,5426,6,50.380327752199484
22,1529,1175,1,48.90867243998534
23,1495,5118,6,34.61792508916352
24,169,2167,2,31.135941006524995
25,442,37,0,57.341036434903145
26,1418,749,0,50.79087523428519
27,3118,526,0,56.95913293396225
28,605,5123,6,68.39121211098706
29,1729,1088,1,47.998618746389056
30,1815,90,0,53.34281241179908
31,2632,5289,6,41.762364465517805
32,2705,5287,6,57.20433602951288
33,1031,5072,6,62.47513601655824
34,3099,8,0,47.3041343417023
35,728,80,0,29.338952523228606
36,1147,1982,2,65.04106716849992
37,17,97,0,65.92989372494061
38,299,80,0,37.28044988062789
39,48,5084,6,31.738023323072454
40,431,5457,6,36.46357390335242
41,2458,4338,5,64.92448596386583
42,929,45,0,59.6779362241597
43,2569,0,0,48.5351747563457
44,110,5143,6,68.73854543653533
45,1580,140,0,48.436423672526146
46,1660,5111,6,56.76784108322282
47,2549,6332,7,60.03228435637136
48,2432,1862,2,69.85336677631825
49,210,5498,6,57.86623237388086
50,2494,1137,1,68.73869578782681
51,3173,4769,5,46.600132348600596
52,2582,1119,1,46.714123398222775
53,254,1885,2,38.452828247593146
54,1835,843,0,53.77492181586853
55,2401,3937,4,75.7425289865819
56,2036,1,0,46.165219281972036
57,1984,96,0,56.129883963639266
58,919,124,0,65.44943621690271
59,697,4436,5,50.62089118397839
60,673,91,0,37.743447220052325
61,1930,1180,1,71.56928010528068
62,600,54,0,70.54685240989978
63,1519,4257,5,68.82615105004716
64,2152,95,0,59.67785868940349
65,1055,0,0,46.4328322618786
66,2877,4,0,34.67543964794192
67,1391,1889,2,49.21921790070514
68,463,156,0,48.59265775557523
69,2771,85,0,63.565035757201464
70,1315,1127,1,63.42425920560229
71,1288,5134,6,50.40554825028444
72,1932,5079,6,73.2899735626888
73,473,696,0,50.531574180229086
74,2441,516,0,69.8231137747803
75,2674,1225,1,50.71709842372117
76,500,38,0,60.68011835537974
77,2195,5061,6,62.88022143653602
78,1576,95,0,44.57367450455632
79,816,79,0,58.583244215531
80,2575,49,0,48.526039970295145
81,513,798,0,48.327610244329925
82,536,21,0,59.341898800010405
83,1711,1993,2,65.51867920786545
84,1199,5065,6,51.09218969700623
85,2243,1685,1,44.26936784121034
86,1730,13,0,57.27931587241842
87,2292,1118,1,46.45848021174198
88,76,5288,6,49.91297300707653
89,3204,3817,4,51.23250242613898
90,1621,80,0,42.07412334590652
91,1094,15,0,70.13924773988496
92,3192,1113,1,63.70399000251265
93,3266,1917,2,52.54795463505482
94,1468,4253,5,72.5637349037637
95,1188,42,0,80.22001286999918
96,2904,5089,6,48.9181653557311
97,202,3897,4,54.16802014750969
98,2601,13,0,46.82991783151017
99,772,82,0,51.661805436150914
100,2827,5067,6,56.847887543727126
101,1138,1180,1,52.01540301092123
102,791,1088,1,50.44966899919189
103,2992,5293,6,44.63262885926263
104,2463,1116,1,47.42649565816532
105,1340,89,0,58.33891784436406
106,375,5083,6,32.226439741000235
107,1769,5084,6,37.521077651913245
108,1124,247,0,51.174996353209416
109,3053,1091,1,59.62171060168373
110,1102,5075,6,51.768198976514064
111,3099,0,0,59.5069080817142
112,1377,5497,6,47.770202920790645
113,1792,1200,1,38.29765992886427
114,762,159,0,48.769172106559004
115,2484,24,0,52.42952208281591
116,346,3911,4,54.85743105954662
