,userid,itemid,courseid,finalgrade
0,1263,1158,1,53.74830515391416
1,1544,45,0,61.76624022994018
2,579,6292,7,34.8137901480064
3,365,76,0,61.956922831452985
4,1998,1983,2,63.05520346364313
5,1340,4217,5,65.81467517664406
6,1089,5120,6,59.277143620428824
7,2967,37,0,51.662021277820344
8,2959,5114,6,80.93748062519334
9,2022,1704,1,69.48900002025678
10,1366,90,0,86.94202756982533
11,1986,5425,6,58.31934107283428
12,2761,1204,1,23.454655039503685
13,1432,33,0,42.946144192351255
14,1513,4733,5,67.01742873991336
15,890,5961,7,56.38951476152502
16,1197,129,0,47.138977919228246
17,2869,58,0,42.32599578533414
18,3207,1078,1,66.84280679194309
19,253,16,0,73.9966137370743
20,1119,24,0,17.093003831179328
21,3216,0,0,68.22826780300717
22,819,3121,3,55.16838091553883
23,1267,1061,1,73.06771905853215
24,370,95,0,71.35476185678604
25,1737,3252,3,29.27745742810172
26,2303,7471,7,47.37076467615911
27,1015,1947,2,50.671650039251304
28,1039,1885,2,80.53072278941012
29,867,1871,2,66.82015240658255
30,2666,5082,6,49.09348292244916
31,1387,63,0,40.119109326629854
32,2136,1908,2,77.36477387257551
33,1473,5068,6,68.20767638968512
34,1559,76,0,51.91557806644997
35,2493,1229,1,43.86428572362609
36,217,5109,6,33.38363404035728
37,1715,96,0,40.188411907027636
38,2677,1879,2,66.5561067481359
39,191,1975,2,53.5112605399468
40,1140,81,0,39.940171468732665
41,2808,5586,6,85.75233516960762
42,1584,1175,1,56.070138963170706
43,1990,45,0,60.71578758100831
44,3208,42,0,95.28541080405142
45,1396,1245,1,33.01904875727626
46,1078,1317,1,33.78218982336416
47,317,79,0,64.32153344811815
48,2429,5134,6,78.55425085044068
49,2578,1908,2,72.80346556804064
50,2254,2513,2,54.648331480476195
51,2647,9,0,66.41542455085678
52,771,1873,2,31.283624080440664
53,700,5071,6,60.88100739977015
54,2913,6380,7,58.093411518797964
55,3231,5084,6,52.11242097339045
56,1186,1259,1,30.73539065974329
57,672,1874,2,62.137163727132254
58,2978,1197,1,83.27535306762287
59,1021,1101,1,34.84860028844738
60,1411,1245,1,80.2151177321725
61,2535,1223,1,32.67232439594074
62,1182,49,0,44.66087361256449
63,2806,5109,6,43.87319407440403
64,1273,1128,1,64.63087621453751
65,729,1175,1,15.918636777419898
66,1692,5290,6,58.68452561185961
67,853,33,0,68.19846628447368
68,2306,5061,6,84.65674871729246
69,3174,5284,6,49.80290295463008
70,2423,1042,1,15.834495119392207
71,969,5062,6,31.025293163290286
72,1937,1137,1,27.330595943372227
73,2967,16,0,32.0766086069339
74,1969,1880,2,48.752927530528574
75,354,42,0,50.5742231954392
76,967,81,0,29.64676421172607
77,2967,76,0,30.637508367241733
78,2805,1178,1,68.26659200803726
79,926,22,0,76.61691085933896
80,2721,2262,2,61.22475448853538
81,2832,1115,1,68.56607197500162
82,3245,64,0,64.36438900163444
83,1039,18,0,72.75974290575378
84,1750,1947,2,67.31877161513115
85,2073,5610,6,54.35806075533935
86,3215,5577,6,69.23628993796827
87,1660,5114,6,23.965751340595006
88,2748,63,0,52.4521515864581
89,1126,5106,6,39.22892265217792
90,2192,36,0,27.095198653904973
91,2317,1047,1,35.787364104425556
92,2607,81,0,46.076383468058985
93,1217,1100,1,50.27277120730955
94,3193,1178,1,65.43312108545325
95,1205,6332,7,85.66290802806843
96,1132,2510,2,23.009894698226635
97,2881,5292,6,60.75192880800023
98,1794,64,0,72.12226035579414
99,2247,5285,6,49.2388183056942
100,290,4,0,48.34715116180279
101,570,110,0,68.23712212308692
102,1972,4433,5,67.09663833240371
103,1882,1052,1,51.51128020736618
104,969,5108,6,67.32942321802857
105,2014,1175,1,68.79936592566307
106,1581,6332,7,84.5116631820425
107,1675,1153,1,69.93375890405771
108,966,1905,2,36.816327570227514
109,1704,5134,6,31.41016270059238
110,375,36,0,48.60338886503751
111,439,1178,1,68.10938734816925
112,183,1192,1,66.26317594043499
113,1432,54,0,50.33778680691056
114,2008,1046,1,78.4279919033097
115,3058,86,0,59.7687255136026
116,2954,27,0,68.01373246400352
117,379,526,0,58.37343856620746
118,3226,5075,6,32.61362816116817
119,1961,4,0,89.83886482294875
120,908,97,0,17.837333876933823
121,2385,137,0,51.25654842383181
122,961,1179,1,53.34275344259725
123,689,5062,6,65.97940020134772
124,253,85,0,74.97537630292011
125,413,5084,6,66.8202275179493
126,2830,29,0,20.321870750115163
127,1557,85,0,68.36419383167376
128,1732,2135,2,37.07656927503327
129,1994,4281,5,67.06820161244117
130,531,1102,1,32.14881529190873
131,2683,1266,1,40.08492490726658
132,857,5121,6,61.17429081072614
133,1267,5066,6,65.580632731621
134,1594,36,0,54.603698178971065
135,1131,5289,6,76.10013024324094
136,2587,38,0,82.3325824902247
137,2970,1885,2,64.64505158158448
138,561,97,0,87.69828684319123
139,1307,5292,6,61.260293364111796
140,2017,5133,6,62.51334261340185
141,1041,1905,2,37.50953540436043
142,3101,1869,2,62.14743571977598
143,2842,1377,1,60.68823437780564
144,674,1977,2,78.30795919285787
145,2128,1178,1,63.40277282785577
146,1631,1920,2,78.4004636442794
147,1909,5091,6,45.564532359099104
148,3206,114,0,48.72955033187908
149,629,1094,1,26.97608180701197
150,1096,86,0,64.19140168344856
151,3160,90,0,67.37165448106978
152,2397,76,0,64.26415654500424
153,3180,2262,2,16.422183784253342
154,1488,64,0,31.595211563425167
155,1080,81,0,16.569664161763033
156,2807,154,0,33.27910486695579
157,200,746,0,47.43722307735917
158,117,2944,3,53.479356563561204
159,500,42,0,50.694218850155494
160,2944,5127,6,66.02095076100218
161,522,54,0,33.12941255094193
162,3140,4241,5,29.698311795989145
163,2246,1905,2,47.477964055145
164,85,124,0,46.61626604045469
165,3000,4280,5,32.629359772982234
166,1464,5117,6,55.853806160252034
167,1291,6661,7,42.426749166141526
168,1579,5344,6,67.12825020190046
169,1823,42,0,71.39058889204938
170,1115,5066,6,74.21168027809718
171,2509,3815,4,67.81008219075949
172,1738,3817,4,67.93908417262496
173,1637,37,0,60.59954009259292
174,1026,4166,5,35.67410810672745
175,351,2203,2,65.58817220211608
176,1119,10,0,72.86008184151929
177,1168,3911,4,49.78515887061037
178,3119,5118,6,44.81764012490774
179,2457,2940,3,38.52225604366255
180,2681,81,0,16.6655000488619
181,1617,109,0,54.775180108142344
182,3190,1099,1,50.006923666891204
183,2998,1052,1,50.651138009496876
184,3154,5112,6,45.744756066028636
185,2043,22,0,65.23570421171478
186,139,12,0,66.37879356242927
187,204,4169,5,55.933891136357396
188,2187,5051,6,65.94881335677128
189,1061,79,0,69.12326668476017
190,838,64,0,64.5795179283209
191,2892,4280,5,50.85725248327638
192,1545,81,0,81.45101637541704
193,394,1074,1,78.03259048147727
194,2803,8,0,51.43051015032522
195,1108,1056,1,43.78066399385334
196,1509,4436,5,52.40582413707371
197,1938,5084,6,51.32043827683624
198,1079,1862,2,71.76460211344306
199,345,0,0,27.715155933611378
200,217,5089,6,36.192248432915875
201,2820,83,0,26.931330401538045
202,3037,7456,7,83.66361644216556
203,2578,73,0,91.94379382650001
204,2325,5501,6,67.49244399633577
205,2226,5143,6,65.38627145587897
206,2370,4300,5,90.20248786116107
207,1064,1180,1,55.091563267800844
208,1199,5285,6,53.938113340481046
209,1579,6333,7,51.31816983769914
210,2397,1059,1,83.35157164002617
211,951,67,0,51.2893276402917
212,2306,5066,6,65.98630985324067
213,339,27,0,36.20889672064682
214,1276,89,0,22.527946698865307
215,477,6305,7,66.8995674002875
216,898,8,0,75.07231138276859
217,211,38,0,92.01262393477546
218,2830,58,0,31.017406801105643
219,2488,5482,6,55.8663872367843
220,2738,1142,1,64.47648269328235
221,2742,19,0,66.56069229599454
222,561,1905,2,36.193018375525064
223,2768,1350,1,92.69270945992626
224,3055,1693,1,66.60082288347274
225,773,5975,7,50.03062035458556
226,603,1180,1,62.88547499441484
227,3003,5065,6,71.05514995461408
228,1777,5126,6,53.48925549218253
229,2301,96,0,34.58862784446858
230,1994,1908,2,84.21968438582708
231,1117,1920,2,64.78113348470279
232,2562,5080,6,73.98432243813951
233,2161,1920,2,60.29172799745553
234,1685,1871,2,53.389486031559905
235,211,5062,6,73.1396551437637
236,766,5293,6,36.979596302992576
237,1950,85,0,26.191890912444677
238,587,1,0,46.239805876488596
239,1480,4014,4,81.37400518106202
240,162,5029,5,43.64406178309283
241,3174,5089,6,34.60730917605407
242,2267,1099,1,86.21527438880405
243,320,5819,7,76.77703592593481
244,1460,7074,7,49.955795777463145
245,940,2943,3,77.23787882075756
246,351,33,0,41.037828328966825
247,3235,69,0,41.05062897544491
248,929,45,0,48.99057818955287
249,675,588,0,49.420361929190655
250,2944,61,0,68.55831374172338
251,2124,69,0,37.637526554362886
252,2723,89,0,47.659832365825395
253,339,1126,1,37.25769553366625
254,1896,61,0,51.36161458574214
255,1994,1905,2,39.709696707519406
256,2626,1,0,32.45686819275807
257,2187,1151,1,33.06832701659712
258,1932,5067,6,50.07178043908733
259,1899,1063,1,20.599208451224513
260,609,1128,1,66.15469234719546
261,541,10,0,40.135037550549335
262,677,1035,1,40.92686692721421
263,1489,4098,4,49.07369428584945
264,977,50,0,48.37249670302527
265,3053,1093,1,52.30545506021648
266,719,5082,6,49.77431440550895
267,600,2107,2,68.3651220816313
268,1277,488,0,70.29239845619414
269,2355,4056,4,22.96843588150438
270,2400,5535,6,52.84880367209286
271,3043,49,0,68.26599301737177
272,3118,526,0,13.129386648573714
273,2823,76,0,51.82482031582003
274,3034,76,0,69.27646185510206
275,1763,58,0,70.85009175446402
276,2188,7411,7,49.184023408176515
277,3053,79,0,52.9947391081156
278,2892,5292,6,63.169357523088635
279,748,90,0,50.07763523357884
280,1012,19,0,21.73262400643496
281,1825,27,0,65.58762642796816
282,1403,6409,7,66.16057402739327
283,1340,44,0,73.41296419988477
284,1233,5131,6,34.18190715665582
285,400,1152,1,70.31162290562087
286,359,840,0,69.24860416626387
287,157,5123,6,66.89594844785195
288,1937,1122,1,29.377467798834726
289,3173,4769,5,61.92035839064264
290,1536,55,0,50.36154999277741
291,2667,89,0,50.369749699188645
292,492,1,0,55.30029786997517
293,2059,1188,1,27.80409303550399
294,1711,38,0,36.174987297978696
295,2863,118,0,67.95319246670871
296,2790,1873,2,84.60389697370739
297,1117,4402,5,68.52243998963944
298,2124,12,0,49.09407062019106
299,1579,5501,6,63.34290107746744
300,3155,5530,6,72.9443085941849
301,2939,1052,1,54.48360651881422
302,1550,2941,3,79.63466296617528
303,495,1074,1,67.3787543853549
304,1294,5433,6,39.14469660408223
305,2766,8,0,78.52231370016733
306,1808,1061,1,49.38521355888871
307,2746,1241,1,43.38726109503267
308,623,4274,5,44.90690175307411
309,1774,5287,6,72.35262416123048
310,1878,6332,7,49.15656802379072
311,2410,5104,6,51.267837179278594
312,3161,1871,2,45.932157245408376
313,659,1920,2,49.569777817378935
314,1053,1247,1,39.88531607013644
315,1717,63,0,33.938908506701374
316,3204,4014,4,55.92430535663739
317,3160,96,0,51.5946268144266
318,3084,50,0,58.66838131917501
319,25,1923,2,90.86386489104308
320,366,18,0,75.5881026886401
321,2485,1374,1,17.305583623669847
322,1337,1956,2,71.02696048868933
323,1373,21,0,65.1117910991939
324,1846,4251,5,56.49569830356765
325,2508,37,0,64.17141902848444
326,1284,5074,6,48.32846974519181
327,2247,1215,1,49.14715563060846
328,2226,5110,6,55.628132672035974
329,1870,1137,1,34.85170527004105
330,296,1080,1,17.401157995850973
331,2398,97,0,53.3237630854774
332,940,131,0,66.43751531228308
333,1576,1893,2,33.89183086797063
334,76,4,0,45.24806249465067
335,2655,4155,5,70.28927743389555
336,2900,5483,6,47.43230470663608
337,1397,5533,6,22.303346497615372
338,558,5089,6,61.79350833787682
339,1940,133,0,64.14080498201491
340,951,5289,6,80.81058947487004
341,1736,86,0,85.09605752460732
342,1693,1138,1,51.75860016004172
343,792,1905,2,76.69798591558882
344,1830,5284,6,89.98117110600141
345,2947,5344,6,47.57557712852104
346,2221,2941,3,54.26804905195793
347,3248,1221,1,30.71337887659888
348,2830,4280,5,58.053638630849115
349,3162,0,0,48.196604776973665
350,1702,6292,7,62.132021585417476
351,1219,4603,5,50.60913256869044
352,609,54,0,60.38809867670734
353,1158,1905,2,69.09647067999853
354,679,1219,1,51.77590733403034
355,1988,24,0,63.0855763901536
356,2666,4248,5,67.52454043840044
357,1055,33,0,69.06843039430655
358,1476,1889,2,47.90799517744573
359,1341,5289,6,50.68094551382978
360,2394,5291,6,66.62916671455115
361,1775,1219,1,62.16247737201469
362,2642,5073,6,59.91889055131039
